Year,MTotApps,MTotAssists,MTotGoals,MClubApps,MClubAssists,MClubGoals,MCoApps,MCoAssists,MCoGoals
2020,12,7,8,12,7,8,0,0,0
2019,59,18,50,49,16,45,10,2,5
2018,54,26,51,49,23,47,5,3,4
2017,64,16,54,57,16,50,7,0,4
2016,62,31,59,51,25,51,11,6,8
2015,61,26,52,53,23,48,8,3,4
2014,66,22,58,52,19,50,14,3,8
2013,46,16,45,39,12,39,7,4,6
2012,69,22,91,60,21,79,9,1,12
2011,70,36,59,57,27,55,13,9,4
2010,64,17,60,54,16,58,10,1,2
2009,64,15,41,54,14,38,10,1,3
2008,48,18,22,40,16,20,8,2,2
2007,55,12,31,41,8,25,14,4,6
2006,33,3,12,26,1,10,7,2,2
2005,21,NA,3,16,NA,3,5,NA,0
2004,7,NA,0,7,NA,0,0,NA,0
2003,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,NA,NA,NA,NA,NA,NA,NA,NA
