Year,MTotApps,MTotAssists,MTotGoals,MClubApps,MClubAssists,MClubGoals,MCoApps,MCoAssists,MCoGoals,RTotApps,RTotAssists,RTotGoals,RClubApps,RClubAssists,RClubGoals,RCoApps,RCoAssists,RCoGoals,MLeague,MDomesticCup,MEuropeanCup,RLeague,RDomesticCup,REuropeanCup,BallonDor
2019,59,18,50,49,16,45,10,2,5,50,4,39,40,4,25,10,0,14,Yes,No,No,Yes,No,No,Messi
2017,64,16,54,57,16,50,7,0,4,60,13,53,49,9,42,11,4,11,No,Yes,No,Yes,No,Yes,Ronaldo
2016,62,31,59,51,25,51,11,6,8,57,17,55,44,14,42,13,3,13,Yes,Yes,No,No,No,Yes,Ronaldo
2015,61,26,52,53,23,48,8,3,4,57,17,57,52,17,54,5,0,3,Yes,Yes,Yes,No,No,No,Messi
2014,66,22,58,52,19,50,14,3,8,60,20,61,51,19,56,9,1,5,No,No,No,No,Yes,Yes,Ronaldo
2013,46,16,45,39,12,39,7,4,6,59,17,69,50,16,59,9,1,10,Yes,No,No,No,No,No,Ronaldo
2012,69,22,91,60,21,79,9,1,12,71,14,63,58,12,58,13,2,5,No,Yes,No,Yes,No,No,Messi
2011,70,36,59,57,27,55,13,9,4,60,16,60,52,14,53,8,2,7,Yes,No,Yes,No,Yes,No,Messi
2010,64,17,60,54,16,58,10,1,2,59,17,48,48,13,45,11,4,3,Yes,No,No,No,No,No,Messi
2009,64,15,41,54,14,38,10,1,3,49,4,30,42,4,29,7,0,1,Yes,Yes,Yes,Yes,No,No,Messi
2008,48,18,22,40,16,20,8,2,2,58,10,35,50,9,34,8,1,1,No,No,No,Yes,No,Yes,Ronaldo
