Year,RTotApps,RTotAssists,RTotGoals,RClubApps,RClubAssists,RClubGoals,RCoApps,RCoAssists,RCoGoals
2020,10,1,13,10,1,13,0,0,0
2019,50,4,39,40,4,25,10,0,14
2018,53,13,49,46,12,43,7,1,6
2017,60,13,53,49,9,42,11,4,11
2016,57,17,55,44,14,42,13,3,13
2015,57,17,57,52,17,54,5,0,3
2014,60,20,61,51,19,56,9,1,5
2013,59,17,69,50,16,59,9,1,10
2012,71,14,63,58,12,58,13,2,5
2011,60,16,60,52,14,53,8,2,7
2010,59,17,48,48,13,45,11,4,3
2009,49,4,30,42,4,29,7,0,1
2008,58,10,35,50,9,34,8,1,1
2007,60,12,34,50,11,29,10,1,5
2006,60,8,25,46,8,19,14,0,6
2005,64,NA,15,53,NA,13,11,NA,2
2004,60,NA,13,44,NA,6,16,NA,7
2003,36,NA,1,34,NA,1,2,NA,0
2002,16,NA,5,16,NA,5,0,NA,0
